Hello my name is John and I am with Amazon customer support.,Yes Hello John.
Hello my name is John and I am with Amazon customer support.,I recently purchased a heater but it has not arrived
I recently purchased a heater but it has not arrived,I'm sorry to hear that.
I recently purchased a heater but it has not arrived,Can I have your name and address to look this up?
Can I have your name and address to look this up?,Why is my address necessary John?
Alright before I proceed may I have your full name for personal record.,I can give you my employee number if you need.
I can give you my employee number if you need.,Ok what is your employee number?
John,John.
John,I am seeing a customers by that name.
John,Did you order with a credit card?
Did you order with a credit card?,Yes I did
Yes I did,Possibly a quick refund as well.
Possibly a quick refund as well.,Great!
Possibly a quick refund as well.,May I get your number John for quality reassurance?
May I get your number John for quality reassurance?,phone number is my direct line.
Darn Your name sounded kinda cute,OK John.
There are 33 John,I can provide my address: address
There are 33 John,Yes
Hi!,Hi there.
Hi!,How are you?
Can you give me your name?,My name is John.
Can you give me your name?,And what can I call you?
And what can I call you?,My name is John.
My name is John.,All right.
My name is John.,Thank you for helping me.
My name is John.,Were you able to find my order information?
Were you able to find my order information?,Yes I just need you to confirm the credit card on file for me.
Yes I just need you to confirm the credit card on file for me.,Okay let me find it.
Yes I just need you to confirm the credit card on file for me.,Just a moment.
Yes I just need you to confirm the credit card on file for me.,Here: number.
Here: number.,what is the name and billing address on the card?
what is the name and billing address on the card?,Are you still there Mr. John?
Great and the billing address?,The billing address is the same as the shipping address.
Great and the billing address?,address
address,Can you just confirm the csv number and expiration date?  
Can you just confirm the csv number and expiration date?  ,Okay and then you can tell me when my order will arrive?
Can you just confirm the csv number and expiration date?  ,The number is cvv..
The number is cvv..,Yes I just need to confirm your identity with the rest of that information
Yes I just need to confirm your identity with the rest of that information,Okay do you need my card's expiration date?
Yes and the csv number.  ,cvv.
Yes and the csv number.  ,Do you know when my order will arrive?
Yes and the csv number.  ,I need it before next week.
I need it before next week.,Perfect.
I need it before next week.,Yes your order will arrive by Thursday afternoon.
Yes your order will arrive by Thursday afternoon.,Yes
I need it before next week.,What is your name?
What is your name?,Hi John.
What is your name?,This is John. 
This is John. ,Hi John I heard you had some trouble purchasing something on Amazon?
Hi John I heard you had some trouble purchasing something on Amazon?,How did you hear about that?
Hi John I heard you had some trouble purchasing something on Amazon?,Do you know what product?
John can you provide your location for my notes as well?,address i will need the info to run through our database
address i will need the info to run through our database,How do you like working at amazon?
It's my order number,As i said the order number will not work I need the other info
Excuse me I still need the other information this does not help ,I don't have my credit card number.
What ar ey ou talking about,Are we done here?
What ar ey ou talking about,Yes
Good afternoon John thank you for your recent purchase on Amazon.com,Thanks but I never got it
Im sorry I did not get you name,My apologies my name is John nice to meet you!
My apologies my name is John nice to meet you!,Same here.
My apologies my name is John nice to meet you!,Where are you from ?
Ok first I need to know Your location if you dont mind,our office is located in address.
Ok first I need to know Your location if you dont mind,Can I take your address please?
Can I take your address please?,Do you have a phone number that I can reach you directly ?
wow it is cold and rainy here. ,Sorry to hear that.
wow it is cold and rainy here. ,Do you require any further help with your order?
Do you require any further help with your order?,I will call amazon directly 
I will call amazon directly ,That is absolutely fine.
I will call amazon directly ,Is there anything else I can do for you today?
Is there anything else I can do for you today?,No thank you
Is there anything else I can do for you today?,yes
Hi John,Hi.
Hi John,I was contacting you about your order.
We are having some trouble with your credit card.,I used it earlier today what's the problem?
I used it earlier today what's the problem?,Do you have another one you can use?
You said the old one worked earlier today,it did at Starbucks
it did at Starbucks,Ok.
it did at Starbucks,I can try that manually here if you want.
I assure you if we are having a problem Target will too.,Maybe but it's summer and I can wait
Maybe but it's summer and I can wait,I feel the same way.
Maybe but it's summer and I can wait,Would you like me to cancel the order?
Would you like me to cancel the order?,Please do and cancel my Prime too
Please do and cancel my Prime too,Ok.
Please do and cancel my Prime too,I need the credit card number on your account first. 
I need the credit card number on your account first. ,What?
I need the credit card number on your account first. ,Why?
I need the credit card number on your account first. ,That makes no sense at all
That makes no sense at all,Just to confirm.
That makes no sense at all,Could you tell me your billing address please.
Could you tell me your billing address please.,It's address. you're not scamming me
It's address. you're not scamming me,Of course not.
It's address. you're not scamming me,Could you confirm the name on your accoount?
Could you confirm the name on your accoount?,John and your name is John right?
Could you confirm the name on your accoount?,Yes
It's address. you're not scamming me,May I speak with Mr. John?
May I speak with Mr. John?,This is John.
May I speak with Mr. John?,Who is this calling please?
Who is this calling please?,I'm with Amazon Customer Service.
Who is this calling please?,I am calling about your order.
I am calling about your order.,It still hasn't arrived.
I am calling about your order.,Do you know when it will be here?
